eval_loss,eval_model_preparation_time,eval_accuracy,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.7010285258293152,0.0042,0.4908256880733945,0.06403633432650785,8.6934,100.306,3.221,0
0.2049625962972641,0.0042,0.9231651376146789,0.03856362539147015,8.7813,99.302,3.189,1.0
0.21653659641742706,0.0042,0.9334862385321101,0.04245804817578111,8.778,99.34,3.19,2.0
0.22382131218910217,0.0042,0.9323394495412844,0.04567288805585387,8.7759,99.363,3.191,3.0
0.21890653669834137,0.0042,0.9288990825688074,0.04513686922712068,8.7833,99.279,3.188,4.0
0.227888822555542,0.0042,0.9403669724770642,0.0444947980139234,8.7731,99.395,3.192,5.0
0.24672330915927887,0.0042,0.930045871559633,0.05383623042784697,8.7848,99.263,3.187,6.0
0.22553586959838867,0.0042,0.9369266055045872,0.043796759064591295,8.7811,99.304,3.189,7.0
0.22940857708454132,0.0042,0.9380733944954128,0.04753307916155648,8.7852,99.258,3.187,8.0
0.22354912757873535,0.0042,0.9392201834862385,0.04697193574467927,8.7813,99.302,3.189,9.0
0.2246401607990265,0.0042,0.9369266055045872,0.044538270921335346,8.7849,99.262,3.187,10.0
0.2186497151851654,0.0042,0.9426605504587156,0.0397280433445896,8.7777,99.343,3.19,11.0
0.24666716158390045,0.0042,0.9380733944954128,0.05147559899802598,8.787,99.237,3.187,12.0
0.2291606217622757,0.0042,0.9380733944954128,0.048488654196262346,8.7841,99.27,3.188,13.0
0.21016603708267212,0.0042,0.9426605504587156,0.04349945314707016,8.7862,99.247,3.187,14.0
0.22053712606430054,0.0042,0.9415137614678899,0.04539837100363649,8.778,99.34,3.19,15.0
0.24314428865909576,0.0042,0.9380733944954128,0.049327513766945,8.7866,99.243,3.187,16.0
0.2502092123031616,0.0042,0.9380733944954128,0.04945111254213049,8.7797,99.32,3.189,17.0
0.21364665031433105,0.0042,0.9426605504587156,0.04185096345363412,8.7874,99.233,3.186,18.0
0.20188631117343903,0.0042,0.9392201834862385,0.04022532058965175,8.7868,99.239,3.187,19.0
0.20781977474689484,0.0042,0.9392201834862385,0.04207643299201211,8.7788,99.33,3.19,20.0
0.25109291076660156,0.0042,0.9403669724770642,0.04395459011333801,8.7806,99.31,3.189,21.0
0.20463131368160248,0.0042,0.9495412844036697,0.04026135877458325,8.7815,99.299,3.189,22.0
0.2385334074497223,0.0042,0.9357798165137615,0.04887921971465464,8.7919,99.183,3.185,23.0
0.2821064591407776,0.0042,0.9369266055045872,0.054463424677148875,8.7744,99.38,3.191,24.0
0.25156718492507935,0.0042,0.9415137614678899,0.04827230539890601,8.7748,99.376,3.191,25.0
0.24675628542900085,0.0042,0.9380733944954128,0.05028248509956067,8.7748,99.375,3.191,26.0
0.25420138239860535,0.0042,0.9426605504587156,0.05148255845548906,8.7789,99.329,3.189,27.0
0.33955952525138855,0.0042,0.9311926605504587,0.06155445775307644,8.7752,99.37,3.191,28.0
0.2676379382610321,0.0042,0.9346330275229358,0.056673786987405314,8.7757,99.365,3.191,29.0
0.2581968605518341,0.0042,0.9346330275229358,0.05439879389804434,8.7825,99.288,3.188,30.0
0.26840707659721375,0.0042,0.9380733944954128,0.05314146125808772,8.778,99.339,3.19,31.0
0.2422967553138733,0.0042,0.9380733944954128,0.04489627507848482,8.7803,99.313,3.189,32.0
0.2783745527267456,0.0042,0.9380733944954128,0.05291710130938701,8.7881,99.226,3.186,33.0
0.26232340931892395,0.0042,0.9426605504587156,0.04825922293127126,8.7708,99.421,3.192,34.0
0.24402908980846405,0.0042,0.9380733944954128,0.048768357741176556,8.7883,99.223,3.186,35.0
0.25199460983276367,0.0042,0.9426605504587156,0.047598347136186867,8.7964,99.131,3.183,36.0
0.28545787930488586,0.0042,0.9380733944954128,0.0560107732858133,8.7804,99.312,3.189,37.0
